,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
10,46,ABCA5,612503,,,Gingival fibromatosis-hypertrichosis syndrome,Disease-causing germline mutation(s) (loss of function) in,Blood protein levels[29875488;29875488];,0.08736196319018405,0.09902011346054668,0.10206212477160011,0.8934929404542664
11,48,ABCA7,605414,608907;,[MIM:608907]Alzheimer disease 9;,Early-onset autosomal dominant Alzheimer disease,Candidate gene tested in,Mean corpuscular hemoglobin concentration[27863252;29403010];Alzheimer's disease (late onset)[21460841;24162737;23571587];Mean corpuscular volume[27863252];Lymphocyte percentage of white cells[27863252];Neutrophil percentage of white cells[27863252];Myeloid white cell count[27863252];Sum basophil neutrophil counts[27863252];Sum neutrophil eosinophil counts[27863252];Neutrophil count[27863252];Alzheimer's disease[21460840];Eosinophil percentage of white cells[27863252];,0.7139877300613497,0.6825683341928829,0.04254763769250848,0.9149785144260283
12,54,ABCA12,607800,242500;601277;,"[MIM:601277]Ichthyosis, congenital, autosomal recessive 4A [recessive?];[MIM:242500]Ichthyosis, congenital, autosomal recessive 4B [recessive?];",Lamellar ichthyosis;Harlequin ichthyosis;Congenital non-bullous ichthyosiform erythroderma,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.10711656441717791,0.7955131511088189,0.10545549464891674,0.9579496623695519
13,58,ABCB4,171060,600803;602347;614972;,"[MIM:602347]Cholestasis, progressive familial intrahepatic, 3;[MIM:614972]Cholestasis of pregnancy, intrahepatic 3;[MIM:600803]Gallbladder disease 1;",Low phospholipid-associated cholelithiasis;Intrahepatic cholestasis of pregnancy;Progressive familial intrahepatic cholestasis type 3,Disease-causing germline mutation(s) (loss of function) in;Major susceptibility factor in;Disease-causing germline mutation(s) (loss of function) in,Epithelial ovarian cancer[25134534];Alanine transaminase levels[29403010];Gallbladder cancer[28274756];,0.10711656441717791,0.20732336255801959,0.07047768206734534,0.9522713321055862
14,60,ABCB6,605452,111600;609153;614497;615402;,"[MIM:614497]Microphthalmia, isolated, with coloboma, 7;[MIM:615402]Dyschromatosis universalis hereditaria 3 [dominant?];[MIM:609153]Pseudohyperkalemia, familial, 2, due to red cell leak;",Dyschromatosis universalis hereditaria;Familial pseudohyperkalemia;Coloboma of choroid and retina;Colobomatous microphthalmia;Coloboma of optic disc;Coloboma of macula;Coloboma of eyelid;Coloboma of eye lens;Coloboma of iris,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Reticulocyte fraction of red cells[27863252];Reticulocyte count[27863252];,0.403680981595092,0.03893759669932955,0.406943356825894,0.6932166973603437
15,61,ABCB7,300135,301310;,"[MIM:301310]Anemia, sideroblastic, spinocerebellar ataxia;",X-linked sideroblastic anemia and spinocerebellar ataxia,Disease-causing germline mutation(s) (loss of function) in,,0.7921472392638037,0.8731304796286746,0.34821195510310626,0.8724677716390423
16,68,ABCB11,603201,601847;605479;,"[MIM:601847]Cholestasis, progressive familial intrahepatic, 2;[MIM:605479]Cholestasis, benign recurrent intrahepatic, 2;",Intrahepatic cholestasis of pregnancy;Progressive familial intrahepatic cholestasis type 2;Benign recurrent intrahepatic cholestasis type 2,Major susceptibility factor in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,"Systolic blood pressure in sickle cell anemia[24058526];Fasting blood glucose[29621232];Glycated hemoglobin levels[20858683;24647736;29170429];Alanine transaminase levels[29403010];Liver enzyme levels (alkaline phosphatase)[22001757];Egg allergy[25710614];Gamma glutamyl transferase levels[29403010];Total cholesterol levels[28334899];Fasting plasma glucose[18521185];Metabolite levels[21909109];Aspartate aminotransferase levels[29403010];Metabolic syndrome (bivariate traits)[21386085];Cholesterol, total[24097068];Metabolic traits[19060910];",0.12711656441717792,0.08483754512635379,0.36439571913338553,0.0
17,70,ABCC2,601107,237500;,,Dubin-Johnson syndrome,Disease-causing germline mutation(s) in,Colorectal cancer[24737748;26151821;26151821];Carboplatin disposition in epthelial ovarian cancer[29367611];,0.4331288343558282,0.0038679731820526046,0.2330984077264422,0.793585021485574
18,75,ABCC6,603234,264800;614473;,"[MIM:264800]Pseudoxanthoma elasticum;[MIM:614473]Arterial calcification of infancy, generalized, 2 [recessive?];",Pseudoxanthoma elasticum;Generalized arterial calcification of infancy,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Multiple myeloma (survival)[26198393];,0.16220858895705523,0.5902527075812274,0.12477160010441138,0.9464395334561081
19,78,ABCC8,600509,240800;256450;602485;606176;610374;,"[MIM:240800]Leucine-induced hypoglycemia;[MIM:256450]Familial hyperinsulinemic hypoglycemia 1;[MIM:606176]Diabetes mellitus, permanent neonatal;[MIM:610374]Transient neonatal diabetes mellitus 2;",Autosomal dominant hyperinsulinism due to SUR1 deficiency;Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency;MODY;DEND syndrome;Autosomal recessive hyperinsulinism due to SUR1 deficiency;Permanent neonatal diabetes mellitus;Transient neonatal diabetes mellitus,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Body mass index[26426971;26426971];Gout[22179738;22179738];Alcohol dependence symptom count[29460428];Mean arterial pressure[27618448];,0.19190184049079756,0.3548220732336256,0.4030279300443748,0.8959484346224678
20,79,ABCC9,601439,239850;608569;614050;,"[MIM:608569]Cardiomyopathy, dilated 1O;[MIM:614050]Atrial fibrillation, familial, 12;[MIM:239850]Hypertrichotic osteochondrodysplasia;","Familial isolated dilated cardiomyopathy;Acromegaloid facial appearance syndrome;Hypertrichosis-acromegaloid facial appearance syndrome;Hypertrichotic osteochondrodysplasia, Cantu type;Brugada syndrome;Familial atrial fibrillation",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in;Candidate gene tested in,Itch intensity from mosquito bite adjusted by bite size[28199695];Gout[22179738];Hippocampal sclerosis of aging[24770881];Birth weight[27680694];Obesity-related traits[23251661];,0.27361963190184047,0.2150593089221248,0.6175933176716262,0.887354205033763
21,84,ABCD1,300371,300100;,[MIM:300100]Adrenoleukodystrophy;,X-linked cerebral adrenoleukodystrophy;Adrenomyeloneuropathy;CADDS,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Role in the phenotype of,Body mass index[26426971];,0.629079754601227,0.867199587416194,0.8580005220569042,0.9481276856967464
22,92,ABCD4,603214,614857;,,"Methylmalonic acidemia with homocystinuria, type cblJ",Disease-causing germline mutation(s) (loss of function) in,,0.2585276073619632,0.1554925219185147,0.03811015400678674,0.7102516881522406
23,103,ABCG5,605459,210250;,[MIM:210250]Sitosterolemia [recessive?];,Sitosterolemia;Homozygous familial hypercholesterolemia,Disease-causing germline mutation(s) in;Candidate gene tested in,"Lipid metabolism phenotypes[19936222];C-reactive protein levels or total cholesterol levels (pleiotropy)[27286809];Cholesterol, total[20686565;19060911;24097068];Metabolite levels (lipoprotein measures)[27005778];LDL cholesterol[20686565;19060911;24097068];Coronary artery disease[29212778;29212778;29212778];Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)[28714975];",0.12711656441717792,0.09051057246003094,0.17619420516836334,0.48066298342541436
24,104,ABCG8,605460,210250;611465;,[MIM:611465]Gallbladder disease 4;[MIM:210250]Sitosterolemia [recessive?];,Sitosterolemia;Homozygous familial hypercholesterolemia,Disease-causing germline mutation(s) in;Candidate gene tested in,"Lipid metabolism phenotypes[19936222];Phytosterol levels[20529992;20529992];Cholesterol, total[20686565;24097068;25961943;28270201];LDL cholesterol[20686565;23726366;19060906;25961943];Gallstone disease[17632509;27094239;27094239];C-reactive protein levels or LDL-cholesterol levels (pleiotropy)[27286809];Coronary artery disease[29212778;29212778;29212778];Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)[28714975];",0.2498159509202454,0.027591542031975246,0.025841816758026624,0.5639963167587477
25,109,ABHD5,604780,275630;,[MIM:275630]Chanarin-Dorfman syndrome [recessive?];,Neutral lipid storage disease with ichthyosis,Disease-causing germline mutation(s) in,Inflammatory skin disease[25574825];,0.2585276073619632,0.18282619907168643,0.6776298616549203,0.38551258440761205
26,115,ABHD12,613599,612674;,"[MIM:612674]Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract;",Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,Disease-causing germline mutation(s) in,Liver enzyme levels (alkaline phosphatase)[22001757];,0.861840490797546,0.5077359463641052,0.5157922213521274,0.09008594229588705
27,142,ABL1,189980,608232;617602;,"[MIM:608232]Leukemia, chronic myeloid;[MIM:617602]Congenital heart defects and skeletal malformations syndrome [dominant?];",Chronic myeloid leukemia;Precursor B-cell acute lymphoblastic leukemia;Precursor T-cell acute lymphoblastic leukemia,Part of a fusion gene in;Part of a fusion gene in;Part of a fusion gene in,Coronary artery calcified atherosclerotic plaque score in type 2 diabetes[29221444];Response to amphetamines[22952603];,0.7175460122699386,0.7240845796802475,0.5533803184547116,0.9883364027010436
28,161,ACAD8,604773,611283;,,Isobutyryl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) (loss of function) in,Obesity-related traits[23251661;23251661];,0.5631901840490797,0.17457452294997422,0.6447402766901592,0.552793124616329
29,162,ACAD9,611103,611126;,,Acyl-CoA dehydrogenase 9 deficiency,Disease-causing germline mutation(s) in,Dental caries[23064961];,0.9038036809815951,0.26585869004641566,0.5484207778647873,0.6904542664211173
30,165,ACADL,609576,,,Long chain acyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in,Serum metabolite levels[23093944];Acylcarnitine levels[26068415];Blood metabolite levels[24816252];Metabolite levels[20037589;23281178];Serum metabolite concentrations in chronic kidney disease[29545352];Amino acid levels[26068415;26068415];Urinary metabolites (H-NMR features)[24586186];,0.14576687116564419,0.0812274368231047,0.16392586791960323,0.4958563535911602
31,166,ACADM,607008,201450;,[MIM:201450]Acyl-CoA dehydrogenase medium-chain deficiency;,Medium chain acyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in,Blood metabolite ratios[24816252];Serum metabolite levels[23093944;23093944;23093944;23093944];Acylcarnitine levels[26068415;26068415;26068415];Serum metabolite ratios in chronic kidney disease[29545352;29545352];Blood metabolite levels[24816252;24816252;24816252;24816252];Metabolite levels[20037589];Serum metabolite concentrations in chronic kidney disease[29545352];Daytime sleep phenotypes[27126917];Metabolic traits[21886157];,0.9315337423312884,0.12893243940175347,0.7791699295223179,0.7067219152854513
32,167,ACADS,606885,201470;,[MIM:201470]Acyl-CoA dehydrogenase short-chain deficiency;,Short chain acyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in,Serum metabolite levels[23093944];Mean corpuscular volume[29403010];Serum metabolite ratios in chronic kidney disease[29545352;29545352;29545352];Allergic rhinitis[30013184];Blood metabolite levels[24816252];Metabolite levels[20037589];Serum metabolite concentrations in chronic kidney disease[29545352];Red blood cell count[27863252];Urinary metabolites (H-NMR features)[24586186];Red cell distribution width[27863252];Metabolic traits[21886157];,0.5658895705521473,0.1523981433728726,0.1942051683633516,0.655463474524248
33,168,ACADSB,600301,610006;,,2-methylbutyryl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) (loss of function) in,Lower body strength[27325353];,0.9246625766871166,0.21660649819494585,0.2652049073348995,0.5457335788827502
34,169,ACADVL,609575,201475;,[MIM:201475]Acyl-CoA dehydrogenase very long-chain deficiency;,Very long chain acyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in,,0.8503067484662576,0.26095925734914904,0.3852779953014879,0.8620319214241866
35,170,ACAN,155760,165800;608361;612813;,"[MIM:608361]Spondyloepiphyseal dysplasia type Kimberley [dominant?];[MIM:612813]Spondyloepimetaphyseal dysplasia, aggrecan type;[MIM:165800]Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans [dominant?];","Spondyloepimetaphyseal dysplasia, aggrecan type;Familial osteochondritis dissecans;Short stature-advanced bone age-early-onset osteoarthritis syndrome;Spondyloepiphyseal dysplasia, Kimberley type",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)[28448500;28448500;28448500];Dupuytren's disease[28886342];Waist circumference adjusted for BMI in non-smokers[28443625;28443625];Hip circumference adjusted for BMI[25673412];Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)[28443625;28443625];Age-related hearing impairment[27764096;27764096];Waist circumference adjusted for BMI (adjusted for smoking behaviour)[28443625;28443625];Height[21998595;25133637;23563607;20881960;20881960;18391952;28270201;25429064;25282103];Infant length[25281659];Waist circumference adjusted for body mass index[28448500;28448500;28448500;25673412;25673412];Waist circumference adjusted for BMI in active individuals[28448500;28448500;28448500];,0.14576687116564419,1.0,0.004698512137823023,0.9057704112952731
36,175,ACAT1,607809,203750;,[MIM:203750]3-ketothiolase deficiency [recessive?];,Beta-ketothiolase deficiency,Disease-causing germline mutation(s) in,,0.9467484662576687,0.5033522434244456,0.18350300182719917,0.5391344383057091
37,185,ACD,609377,616553;,"[MIM:616553]Dyskeratosis congenita, autosomal dominant, 6 [dominant?];[MIM:616553]Dyskeratosis congenita, autosomal recessive, 7 [recessive?];",Hoyeraal-Hreidarsson syndrome;Familial melanoma;Hereditary isolated aplastic anemia,Disease-causing germline mutation(s) in;Major susceptibility factor in;Disease-causing germline mutation(s) in,Schizophrenia[25056061];,0.58,0.16322846828261992,0.7666405638214565,0.10205647636586863
38,186,ACE,106180,267430;601367;612624;614519;,[MIM:601367]Ischemic stroke;[MIM:267430]Renal tubular dysgenesis;[MIM:612624]Microvascular complications of diabetes 3;[MIM:614519]Intracerebral hemorrhage;,Renal tubular dysgenesis of genetic origin,Disease-causing germline mutation(s) in,Serum metabolite levels[24625756;24625756;24625756;23093944;23093944;23093944;23093944;23093944];Alzheimer's disease (late onset)[24162737];Diastolic blood pressure[28739976;28739976;28135244];Blood metabolite levels[24816252;24816252;24816252;24816252;24816252];Diastolic blood pressure x alcohol consumption interaction (2df test)[29912962];Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Blood protein levels[30072576];Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Blood metabolite ratios[24816252];Angiotensin-converting enzyme activity[20066004];Cerebrospinal fluid levels of Alzheimer's disease-related proteins[25340798];Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Metabolite levels[23281178];Systolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962];Metabolic traits[21886157];,0.4117791411042945,0.13047962867457452,0.2662490211433046,0.13720073664825047
39,191,ACER3,617036,,,Alkaline ceramidase 3 deficiency,Disease-causing germline mutation(s) in,,0.49570552147239266,0.6962351727694688,0.9796397807361003,0.3612645794966237
40,203,ACO2,100850,614559;616289;,[MIM:614559]Infantile cerebellar-retinal degeneration [recessive?];[MIM:616289]Optic atrophy 9;,Infantile cerebellar-retinal degeneration;Autosomal recessive isolated optic atrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Neuroticism[29255261];,0.859877300613497,0.5257864878803507,0.737144348734012,0.4189686924493554
41,204,ACOD1,615275,,,CAD-CDG,Disease-causing germline mutation(s) in,Hearing function[25060954];Tourette's syndrome or obsessive-compulsive disorder[25158072];,0.038773006134969326,0.7902269210933471,0.0,0.0
42,215,ACOX1,609751,264470;,,Peroxisomal acyl-CoA oxidase deficiency,Disease-causing germline mutation(s) in,Systolic blood pressure[28135244];White matter hyperintensity burden[25663218;25663218];,0.7979141104294478,0.41284167096441465,0.5288436439571913,0.6658993247391037
43,222,ACP4,606362,617297;,[MIM:617297]Amelogenesis imperfecta 1J [recessive?];,Hypoplastic amelogenesis imperfecta,Disease-causing germline mutation(s) (loss of function) in,Diverticular disease[30177863];,0.038773006134969326,0.08303249097472924,0.0,0.0
44,223,ACP5,171640,607944;,[MIM:607944]Spondyloenchondrodysplasia with immune dysregulation;,Spondyloenchondrodysplasia,Disease-causing germline mutation(s) in,Multiple sclerosis (severity)[19010793];Blood protein levels[29875488;30072576];,0.36171779141104293,0.5384218669417226,0.2811276429130775,0.7306629834254144
45,233,ACSF3,614245,614265;,[MIM:614265]Combined malonic and methylmalonic aciduria;,Combined malonic and methylmalonic acidemia,Disease-causing germline mutation(s) in,,0.8369325153374233,0.10804538421866942,0.4815974941268598,0.06368937998772253
46,236,ACSL4,300157,300194;300387;,"[MIM:300387]Mental retardation, X-linked 63;[MIM:300194]Alport syndrome with mental retardation, midface hypoplasia and elliptocytosis;",X-linked non-syndromic intellectual disability;Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome,Disease-causing germline mutation(s) in;Role in the phenotype of,,0.6825766871165644,0.5985043837029397,0.9028974158183242,0.0
47,250,ACTA1,102610,161800;255310;616852;,"[MIM:161800]Nemaline myopathy 3;[MIM:161800]Myopathy, actin, congenital, with excess of thin myofilaments;[MIM:255310]Myopathy, congenital, with fiber-type disproportion;[MIM:616852]Myopathy, scapulohumeroperoneal [dominant?];",Severe congenital nemaline myopathy;Intermediate nemaline myopathy;Typical nemaline myopathy;Childhood-onset nemaline myopathy;Congenital fiber-type disproportion myopathy;Progressive scapulohumeroperoneal distal myopathy;Rigid spine syndrome;Zebra body myopathy;Congenital myopathy with excess of thin filaments,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Chronic lymphocytic leukemia[24292274;28165464];,0.7608588957055215,0.19159360495100566,0.9561472200469852,0.5988336402701043
48,251,ACTA2,102620,611788;613834;614042;,"[MIM:611788]Aortic aneurysm, familial thoracic 6;[MIM:614042]Moyamoya disease 5;[MIM:613834]Multisystemic smooth muscle dysfunction syndrome;",Moyamoya disease;Multisystemic smooth muscle dysfunction syndrome;Familial thoracic aortic aneurysm and aortic dissection,Major susceptibility factor in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,"Chronic lymphocytic leukemia[23770605;26956414];Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)[26974007];Selective IgA deficiency[27723758];Immunoglobulin A[20694011];",0.9116564417177914,0.8785456420835482,0.982250065257113,0.7441682013505218
49,253,ACTB,102630,243310;607371;,"[MIM:607371]Dystonia, juvenile-onset;[MIM:243310]Baraitser-Winter syndrome 1;",Baraitser-Winter cerebrofrontofacial syndrome;Becker nevus syndrome;Developmental malformations-deafness-dystonia syndrome,Disease-causing germline mutation(s) (gain of function) in;Disease-causing somatic mutation(s) in;Disease-causing germline mutation(s) in,Relative hand skill in reading disability[24068947];Global electrical heterogeneity phenotypes[29622589];,0.9862576687116564,0.7439401753481176,0.9932132602453667,0.9892572130141191
50,268,ACTC1,102540,612098;612794;613424;,"[MIM:613424]Cardiomyopathy, dilated 1R;[MIM:612098]Cardiomyopathy, familial hypertrophic 11;[MIM:612794]Atrial septal defect 5;","Familial isolated dilated cardiomyopathy;Left ventricular noncompaction;Atrial septal defect, ostium secundum type",Disease-causing germline mutation(s) in;Major susceptibility factor in;Disease-causing germline mutation(s) in,Refractive error[20835239];Axial length[24144296];,0.8723926380368098,0.812790097988654,0.988775776559645,0.7826887661141805
51,269,ACTG1,102560,604717;614583;,"[MIM:604717]Deafness, autosomal dominant, 20 [dominant?];[MIM:614583]Baraitser-Winter syndrome 2;",Baraitser-Winter cerebrofrontofacial syndrome;Autosomal dominant non-syndromic sensorineural deafness type DFNA;Coloboma of choroid and retina;Coloboma of iris,Disease-causing germline mutation(s) (gain of function) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Hand grip strength[29313844];,0.9626993865030675,0.6222279525528623,0.916731923779692,0.9183548189073051
52,293,ACTG2,102545,155310;,[MIM:155310]Visceral myopathy;,Familial visceral myopathy;Megacystis-microcolon-intestinal hypoperistalsis syndrome;Myopathic intestinal pseudoobstruction,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.7512883435582822,0.7016503352243424,0.9595405899243018,0.5391344383057091
53,294,ACTL6A,604958,,,Non-specific syndromic intellectual disability,Disease-causing germline mutation(s) (loss of function) in,,0.878282208588957,0.6812790097988654,0.7071260767423649,0.9441375076734193
54,301,ACTN1,102575,615193;,"[MIM:615193]Bleeding disorder, platelet-type 15 [dominant?];",Autosomal dominant macrothrombocytopenia,Disease-causing germline mutation(s) in,Mean platelet volume[27863252;27863252];Rheumatoid arthritis (ACPA-positive)[23143596];Mosquito bite size[28199695];Urinary albumin excretion[30220432];Smoking behavior[19247474];Cognitive decline rate in late mild cognitive impairment[26252872;26252872];Fibrinogen[23969696];Platelet distribution width[27863252];Fibrinogen levels[28107422;28107422];Prostate cancer[23535732];Platelet count[26805783;29403010];Periodontitis (Mean PAL)[24024966];,0.9633128834355829,0.7916451779267664,0.5489428347689899,0.4429097605893186
55,303,ACTN2,102573,612158;,"[MIM:612158]Cardiomyopathy, familial hypertrophic 23, with or without left ventricular non-compaction;[MIM:612158]Cardiomyopathy, dilated 1AA, with or without left ventricular non-compaction;",Familial isolated dilated cardiomyopathy,Disease-causing germline mutation(s) in,Periodontitis (CDC/AAP)[24024966];,0.6384049079754601,0.889633831872099,0.38945445053510835,0.8219766728054021
